index	timestamp	hour	solar_dahead_utc	wind_on_dahead_utc	alpha	beta
0	20181101_000000	0	15	2169	71.64549031	0.002866842
1	20181101_010000	1	17	2215	66.56019317	0.002891653
2	20181101_020000	2	19	2418	60.60524827	0.002125254
3	20181101_030000	3	17	2763	57.02303235	0.001715437
4	20181101_040000	4	18	3078	55.38216257	0.001648799
5	20181101_050000	5	18	3394	54.24843148	0.001990964
6	20181101_060000	6	50	3352	53.55409616	0.005207447
7	20181101_070000	7	490	3188	39.95223951	0.007455288
8	20181101_080000	8	1540	3061	32.39107981	0.006548658
9	20181101_090000	9	2716	3191	33.38285676	0.006290059
10	20181101_100000	10	3529	3438	34.24591538	0.006437724
11	20181101_110000	11	3735	3775	33.13752645	0.006364768
12	20181101_120000	12	3645	4053	30.09775879	0.006134023
13	20181101_130000	13	3340	4207	30.40396137	0.006083894
14	20181101_140000	14	2893	4392	24.42183689	0.005421802
15	20181101_150000	15	2172	4503	12.2037202	0.002649635
16	20181101_160000	16	1220	4626	9.438956753	0.002148232
17	20181101_170000	17	529	4812	12.42552307	0.002510184
18	20181101_180000	18	245	5044	30.25134466	0.0061718
19	20181101_190000	19	141	5269	43.6357247	0.007276856
20	20181101_200000	20	89	5489	50.18059657	0.007060588
21	20181101_210000	21	57	5495	46.29115051	0.007242285
22	20181101_220000	22	40	5463	38.11523711	0.007621868
23	20181101_230000	23	31	5975	31.21313694	0.006651028
24	20181102_000000	0	29	6119	56.66168032	0.001734276
25	20181102_010000	1	22	6307	54.58273404	0.002545866
26	20181102_020000	2	18	6409	53.93195322	0.005146573
27	20181102_030000	3	14	6483	54.04510814	0.008579013
28	20181102_040000	4	15	6502	51.84489086	0.009047042
29	20181102_050000	5	15	6274	53.09226737	0.009191977
30	20181102_060000	6	30	5896	51.4695467	0.008674134
31	20181102_070000	7	277	5445	41.70107943	0.008463791
32	20181102_080000	8	869	5055	46.75417789	0.007750608
33	20181102_090000	9	1599	5052	53.09758453	0.007413357
34	20181102_100000	10	2148	5425	53.46665284	0.007074335
35	20181102_110000	11	2459	6003	50.35602265	0.007466207
36	20181102_120000	12	2463	6473	46.5998528	0.007453164
37	20181102_130000	13	2280	6769	46.88221381	0.00739609
38	20181102_140000	14	1901	7044	39.81815455	0.007058178
39	20181102_150000	15	1285	7037	34.94182573	0.006724801
40	20181102_160000	16	566	6862	34.77108494	0.006826253
41	20181102_170000	17	220	6696	39.48824486	0.006924096
42	20181102_180000	18	92	6596	47.02897284	0.007329195
43	20181102_190000	19	39	6488	52.10209099	0.006251263
44	20181102_200000	20	23	6415	52.67656097	0.004880562
45	20181102_210000	21	26	6277	52.44165788	0.005497634
46	20181102_220000	22	25	6095	52.57826683	0.007433366
47	20181102_230000	23	13	5940	54.05441923	0.007616967
48	20181103_000000	0	10	5755	60.47702017	0.002369262
49	20181103_010000	1	11	5651	55.48821907	0.001515378
50	20181103_020000	2	12	5579	54.17555704	0.001719485
51	20181103_030000	3	8	5486	52.38182256	0.002250666
52	20181103_040000	4	11	5377	52.4195251	0.003018583
53	20181103_050000	5	13	5227	52.2232274	0.002981079
54	20181103_060000	6	33	4838	54.43208952	0.005319303
55	20181103_070000	7	532	4191	44.73580886	0.008967611
56	20181103_080000	8	1565	3515	42.29639433	0.007694691
57	20181103_090000	9	2651	2934	51.97257435	0.006378016
58	20181103_100000	10	3338	2396	51.42505434	0.003328866
59	20181103_110000	11	3890	1918	51.09669251	0.002920194
60	20181103_120000	12	3962	1597	50.96143968	0.002663213
61	20181103_130000	13	3890	1377	50.88128871	0.002096165
62	20181103_140000	14	3600	1234	51.04766443	0.002743349
63	20181103_150000	15	2800	1131	51.43098246	0.004393921
64	20181103_160000	16	1375	1059	51.44347395	0.004947185
65	20181103_170000	17	374	1029	51.07884383	0.003151893
66	20181103_180000	18	169	987	51.13108104	0.001602073
67	20181103_190000	19	125	954	52.35490816	0.001032479
68	20181103_200000	20	97	955	53.66988898	0.001173804
69	20181103_210000	21	50	1058	53.7094499	0.001192739
70	20181103_220000	22	48	1220	52.48582334	0.001121801
71	20181103_230000	23	19	1639	54.3917453	0.001381892
72	20181104_000000	0	21	1821	70.69989756	0.003024572
73	20181104_010000	1	20	2001	63.38189348	0.002538997
74	20181104_020000	2	16	2203	58.98823359	0.001917105
75	20181104_030000	3	9	2521	54.8044545	0.001356789
76	20181104_040000	4	6	2866	54.00559832	0.001851197
77	20181104_050000	5	28	3182	53.90884686	0.002744407
78	20181104_060000	6	23	3299	53.39039264	0.004539663
79	20181104_070000	7	514	3353	39.67482608	0.008059879
80	20181104_080000	8	1530	3402	33.84851171	0.006921643
81	20181104_090000	9	2554	3645	38.05251216	0.007019283
82	20181104_100000	10	3102	3992	41.56431199	0.00761459
83	20181104_110000	11	3368	4464	40.0166658	0.007466684
84	20181104_120000	12	3338	4868	32.23924092	0.00660607
85	20181104_130000	13	3079	5175	30.74255229	0.006418971
86	20181104_140000	14	2599	5466	28.15086675	0.006469944
87	20181104_150000	15	1732	5752	11.81953999	0.002470041
88	20181104_160000	16	678	6047	7.76499097	0.001732626
89	20181104_170000	17	155	6448	7.738491438	0.001710247
90	20181104_180000	18	55	6664	17.50290472	0.003796149
91	20181104_190000	19	23	6831	27.39945545	0.006573134
92	20181104_200000	20	24	7047	35.55598056	0.006733023
93	20181104_210000	21	18	7339	36.78260743	0.006949017
94	20181104_220000	22	14	7593	31.81618508	0.006918827
95	20181104_230000	23	17	7290	31.35488404	0.007244211
96	20181105_000000	0	10	7428	56.90260036	0.003537439
97	20181105_010000	1	9	7581	54.03897159	0.005620454
98	20181105_020000	2	9	7771	48.27005267	0.008139092
99	20181105_030000	3	15	7811	36.57402261	0.007804765
100	20181105_040000	4	14	7898	29.37086913	0.006224331
101	20181105_050000	5	14	8084	29.59101727	0.006058175
102	20181105_060000	6	28	7933	37.42712115	0.007101517
103	20181105_070000	7	209	7627	38.71572244	0.006887522
104	20181105_080000	8	675	7467	37.90220856	0.006872678
105	20181105_090000	9	1246	7699	42.53417639	0.007260382
106	20181105_100000	10	1636	7992	39.90485806	0.007001656
107	20181105_110000	11	1861	8381	34.92179774	0.006818291
108	20181105_120000	12	1899	8772	30.9628202	0.006415969
109	20181105_130000	13	1815	9164	31.57903716	0.006772969
110	20181105_140000	14	1631	9555	22.99225183	0.004868265
111	20181105_150000	15	1326	9642	20.50931427	0.004489862
112	20181105_160000	16	686	9603	18.9876201	0.00440931
113	20181105_170000	17	202	9682	23.0313069	0.004880712
114	20181105_180000	18	58	9953	39.99715336	0.006405813
115	20181105_190000	19	43	10252	48.8160577	0.0058376
116	20181105_200000	20	38	10456	49.79581456	0.004792722
117	20181105_210000	21	26	10500	48.02234598	0.006129036
118	20181105_220000	22	19	10520	48.31467558	0.00725656
119	20181105_230000	23	10	10791	37.42543366	0.007633136
120	20181106_000000	0	10	10929	53.42676643	0.003853938
121	20181106_010000	1	13	11083	50.89035333	0.006499566
122	20181106_020000	2	13	11139	43.28731733	0.007917718
123	20181106_030000	3	12	11284	33.53799179	0.008195208
124	20181106_040000	4	13	11410	31.88570901	0.009794054
125	20181106_050000	5	13	11469	30.52236233	0.009512771
126	20181106_060000	6	23	11597	22.91143218	0.005030302
127	20181106_070000	7	312	11734	19.94665533	0.004674608
128	20181106_080000	8	1038	11867	19.53850045	0.004832522
129	20181106_090000	9	1837	11995	23.29695242	0.004968732
130	20181106_100000	10	2405	12089	20.64173228	0.004798878
131	20181106_110000	11	2556	12099	17.13514162	0.004449379
132	20181106_120000	12	2472	11954	12.50071934	0.003210047
133	20181106_130000	13	2187	11704	12.54899705	0.003247247
134	20181106_140000	14	1773	11414	8.281284242	0.002310106
135	20181106_150000	15	1170	10986	9.571683972	0.00263977
136	20181106_160000	16	450	10587	10.43063554	0.002745809
137	20181106_170000	17	125	10329	19.9455122	0.005170776
138	20181106_180000	18	45	10349	36.08547496	0.007014901
139	20181106_190000	19	25	10439	42.93965888	0.007056579
140	20181106_200000	20	21	10607	45.77036361	0.006686452
141	20181106_210000	21	12	10866	43.54320924	0.006953385
142	20181106_220000	22	13	11111	33.74683635	0.007349577
143	20181106_230000	23	11	10945	20.21203254	0.004876475
144	20181107_000000	0	7	11059	43.19703989	0.005991921
145	20181107_010000	1	8	11135	31.76087023	0.005536702
146	20181107_020000	2	10	11182	24.55483898	0.004873137
147	20181107_030000	3	12	11313	19.26647696	0.00445029
148	20181107_040000	4	11	11389	16.62153689	0.004269148
149	20181107_050000	5	10	11433	16.68196911	0.004091397
150	20181107_060000	6	18	11047	21.09585609	0.004322761
151	20181107_070000	7	270	10533	25.16077267	0.004798231
152	20181107_080000	8	849	9956	30.48467485	0.004779208
153	20181107_090000	9	1389	9685	36.27624633	0.004747131
154	20181107_100000	10	1768	9463	40.26198118	0.004621435
155	20181107_110000	11	1943	9223	41.64346545	0.004514333
156	20181107_120000	12	1960	8383	45.94581747	0.004827508
157	20181107_130000	13	1828	7479	47.30242542	0.004773769
